id;question;difficulty_level;correct_answer;answer2;answer3;answer4;topic_id;topic_name
79;"What number is missing from the table?

$\begin{array}{ |l|c|c| } 
 \hline
 \text{Student} & \text{Frequency} & \text{Relative frequency} \\ 
\hline
\text{Bachelor} &900& 0.75 \\ 
\text{Master} &  & 0.15  \\ 
\text{PhD} & 120 & 0.1 \\ 
 \hline
\end{array}$";3;$180$;$150$;$1020$;$400$;14;Statistics
80;The amount spent on entertainment in a month was recorded for a sample of five university students: $100$, $90$, $200$, $325$, and $120$. Calculate the sample mean for the data.;3;$167 $;$200 $;$120 $;$325 $;14;Statistics
81;The amount spent on entertainment in a month was recorded for a sample of five university students: $100$, $90$, $200$, $325$, and $120$. Calculate the value of the sample median for the data.;3;$120 $;$200 $;$167 $;$325 $;14;Statistics
82;Differentiate $\displaystyle{y = 2x\sin(x)}$.;1;$2\left(\sin\left(x\right)+x\cos\left(x\right)\right)$;$\left(\sin\left(2x\right)+x\cos\left(2x\right)\right)$;$2x\left(\sin\left(x\right)+x\cos\left(x\right)\right)$;$\left(2\sin\left(x\right)-2x\cos\left(x\right)\right)$;4;Differentiation
83;The image of the function $f(x)=x^3+\log (x)$ is;1;$\mathbb{R}$;$(0,+\infty)$;$[0,+\infty)$;$(-\infty,0)$;3;Real Functions of a Single Variable
84;"Find the values of the parameter $\alpha\in\mathbb R$ for which the function
\[
f_\alpha\colon \mathbb R\setminus\{0\}\to\mathbb R \ \text{ given by } \ f_\alpha(x)=\frac{\alpha -\cos( x)}{x^2}
\]
may be extended to a function defined on the whole real line.";3;$\alpha=1$.;$\alpha=1/2$.;$\alpha\in [-1,1]$.;There is no such value of $\alpha$.;3;Real Functions of a Single Variable
85;"Find the values of the parameter $\alpha\in\mathbb R$ for which the function $f\colon\mathbb R\to\mathbb R$ defined by
\[
f(x)=
\begin{cases}
\cos (x) + \frac{\tan (x)}{x} & \text{if $x> 0$,}\\
\alpha \log(\operatorname{e} -x ) &\text{if $x\le  0$,}
\end{cases}
\],
where $\log$ denotes the logarithm with base $e$, is continuous.";2;$\alpha=2$.;$\alpha=0$.;$\alpha=1$.;The function is discontinuous at every point in $\mathbb{R}$.;3;Real Functions of a Single Variable
86;"Determine which of these functions are periodic:
\[
f(x) = \sin(\operatorname{e}^x),\qquad g(x)=\operatorname{e}^{\sin (x)},\qquad h(x) = x - [x],\qquad i(x) = x+ [x],
\]
where $[x]=\max\{n\in\mathbb{Z}:n\le x\}$ denotes the integer part of $x$.";3;$g$ and $h$.;$f$ and $g$.;$f$ and $i$.;$f$ and  $h$.;3;Real Functions of a Single Variable
87;"Calculate
\[
\lim_{x\to+\infty} \frac{\cos (x+[x]) - \sin(x-[x])}{x+[x]},
\]
where $[x]=\max\{n\in\mathbb{Z}:n\le x\}$ denotes the integer part of $x$.";1;$0$.;$+\infty$.;$-\infty$.;The limit does not exist.;3;Real Functions of a Single Variable
88;"Discuss the solution of the following linear system:
$$\begin{cases}
3x & + & 2y & - & z & + & 2t & = & 1\\
x & - & y & + &2 z & - & 4t & = & -1\\
-x & - & 2y & - & z & + & t & = & 0\\
2x & + & 3y & - & 2z & + & t & = & 2
\end{cases}$$";4;The system has a unique solution.;The system has no solutions.;The system has infinitely many solutions depending on one parameter.;The system has three solutions.;18;Linear Algebra
89;"How many solutions does the following linear system have?
$$\begin{cases}
2x & + & 3y & - & z & = & 1 \\
x & - & y & + & 4z & = & -2 \\
x & - & 6y & + & 13z & = & -7
\end{cases}$$";5;The system has infinitely many solutions depending on one parameter.;The system has no solutions.;The system has two solutions.;The system has a unique solution.;18;Linear Algebra
90;"How many solutions does the following linear system have?
$$\begin{cases}
x & - & y & + & z & - & 2t & = & 0 \\
-x & - & 5y & + & z & - & 8t & = & 0 \\
2x & + & y & + & z & + & t & = & 0 \\
2x & - & 5y & + & 3z & - & 9t & = & 0
\end{cases}$$";3;The system has infinitely many solutions depending on two parameters.;The system has infinitely many solutions depending on one parameter.;The system has no solutions.;The system has a unique solution.;18;Linear Algebra
91;"Find the solutions of the following linear system:
$$\begin{cases}
x & + & y & - & 3z & + & 2t & = & 1 \\
2x & - & y & - & z & + & t & = & 0 \\
x & + & y & + & z & - & t & = & -2
\end{cases}$$";3;The solutions of the system are of the form $\bigg(-\frac{2}{3},\frac{1}{4}t-\frac{7}{12},\frac{3}{4}t-\frac{3}{4},t\bigg)$, for all $t\in\mathbb{R}$.;The system has no solutions.;The system has $\bigg(-\frac{2}{3},-\frac{7}{12},-\frac{3}{4},0\bigg)$ as unique solution.;The solution of the system is the vector of coordinates $(2,-1,0,0)$.;18;Linear Algebra
